t_us,t_s,weight_raw_kg,offset_raw_kg,weight_adj_kg,weight_raw_N,weight_adj_N
56332,0.056332,-0.033217341,0,-0.033217341,-0.325750834,-0.325750834
245512,0.245512,0.003414869,0,0.003414869,0.033488428,0.033488428
434686,0.434686,-0.038029194,0,-0.038029194,-0.372938994,-0.372938994
623871,0.623871,-0.032596454,0,-0.032596454,-0.319662016,-0.319662016
813060,0.81306,-0.021110088,0,-0.021110088,-0.207019241,-0.207019241
1002267,1.002267,0.00372532,0,0.00372532,0.03653291,0.03653291
1191469,1.191469,0.004501417,0,0.004501417,0.044143824,0.044143824
1380673,1.380673,-0.017539993,0,-0.017539993,-0.172008572,-0.172008572
1569871,1.569871,0.005898416,0,0.005898416,0.057843702,0.057843702
1759077,1.759077,-0.024524957,0,-0.024524957,-0.240507669,-0.240507669
1948287,1.948287,-0.00357008,0,-0.00357008,-0.035010523,-0.035010523
2137493,2.137493,0.021575764,0,0.021575764,0.211585964,0.211585964
2326699,2.326699,0.035080016,0,0.035080016,0.344017436,0.344017436
2515908,2.515908,0.029026374,0,0.029026374,0.284651493,0.284651493
2705109,2.705109,0.018781781,0,0.018781781,0.184186355,0.184186355
2894308,2.894308,0.006208852,0,0.006208852,0.060888038,0.060888038
3095323,3.095323,-0.033062115,0,-0.033062115,-0.324228593,-0.324228593
3284517,3.284517,-0.063175038,0,-0.063175038,-0.619535482,-0.619535482
3473716,3.473716,0.331552595,0,0.331552595,3.251420255,3.251420255
3662910,3.66291,1.317517996,0,1.317517996,12.92043785,12.92043785
3852102,3.852102,2.309381962,0,2.309381962,22.64730062,22.64730062
4041288,4.041288,2.760454893,0,2.760454893,27.07081498,27.07081498
4230475,4.230475,3.074467421,0,3.074467421,30.15022593,30.15022593
4419667,4.419667,3.413004875,0,3.413004875,33.47014426,33.47014426
4608857,4.608857,3.872149467,0,3.872149467,37.97281458,37.97281458
4798056,4.798056,3.988099575,0,3.988099575,39.1098967,39.1098967
4987249,4.987249,4.464318275,0,4.464318275,43.78000682,43.78000682
5176437,5.176437,4.722296238,0,4.722296238,46.3099064,46.3099064
5365621,5.365621,4.716708183,0,4.716708183,46.25510631,46.25510631
5554811,5.554811,4.90638876,0,4.90638876,48.11523733,48.11523733
5744000,5.744,5.589517117,0,5.589517117,54.81443803,54.81443803
5933183,5.933183,5.628322601,0,5.628322601,55.19498984,55.19498984
6122379,6.122379,5.684357643,0,5.684357643,55.74450588,55.74450588
6311567,6.311567,5.789752483,0,5.789752483,56.77807619,56.77807619
6500764,6.500764,5.478689194,0,5.478689194,53.72758738,53.72758738
6689957,6.689957,1.640378118,0,1.640378118,16.08661407,16.08661407
6879162,6.879162,0.032441244,0,0.032441244,0.318139921,0.318139921
7068358,7.068358,0.066434696,0,0.066434696,0.651501815,0.651501815
7257549,7.257549,0.085682139,0,0.085682139,0.840254746,0.840254746
7446736,7.446736,0.039270982,0,0.039270982,0.385116777,0.385116777
7635938,7.635938,0.024990633,0,0.024990633,0.245074392,0.245074392
7825111,7.825111,0.013349041,0,0.013349041,0.130909376,0.130909376
8014299,8.014299,0.047497705,0,0.047497705,0.465793365,0.465793365
8203492,8.203492,-0.013504237,0,-0.013504237,-0.132431325,-0.132431325
8392685,8.392685,0.008847624,0,0.008847624,0.086765553,0.086765553
8581878,8.581878,-0.032286018,0,-0.032286018,-0.31661768,-0.31661768
8771061,8.771061,0.015987799,0,0.015987799,0.156786745,0.156786745
8972067,8.972067,0.005898416,0,0.005898416,0.057843702,0.057843702
9161249,9.161249,0.043772399,0,0.043772399,0.429260601,0.429260601
9350427,9.350427,0.020954877,0,0.020954877,0.205497146,0.205497146
9539604,9.539604,0.010399833,0,0.010399833,0.101987525,0.101987525
9728788,9.728788,-0.003725305,0,-0.003725305,-0.036532764,-0.036532764
9917972,9.917972,0.000465676,0,0.000465676,0.004566723,0.004566723
10107159,10.107159,0.001552224,0,0.001552224,0.015222119,0.015222119
10296330,10.29633,0.009313285,0,0.009313285,0.09133213,0.09133213
10485497,10.485497,-0.002173096,0,-0.002173096,-0.021310791,-0.021310791
